Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Cycling,11/30/2014 15:17,Outdoor,USA,"Frisco, TX",Untitled,37.72,845,1:50:27,122,160
Cycling,12/13/2014 9:58,Outdoor,USA,"Frisco, TX",Untitled,50.71,"1,629",2:05:46,154,183
Running,12/15/2014 8:35,Outdoor,USA,"Frisco, TX",Frisco Running,4.16,268,0:49:19,134,161
Running,12/16/2014 8:59,Outdoor,USA,"Frisco, TX",Frisco Running,1.55,220,1:03:22,116,139
Running,12/18/2014 9:31,Outdoor,USA,"Frisco, TX",Frisco Running,1.92,253,1:16:59,116,134
Running,12/22/2014 9:04,Outdoor,USA,"Frisco, TX",Frisco Running,5.53,304,0:56:46,139,157
Running,12/22/2014 10:23,Outdoor,USA,"Frisco, TX",Frisco Running,0.61,76,0:45:49,111,125
Running,2/7/2015 7:44,Outdoor,USA,"Dallas, TX",Dallas Running,0,0,00:04.7,123,130
Running,2/7/2015 7:55,Outdoor,USA,"Dallas, TX",Dallas Running,5.16,381,0:40:46,191,207
Cycling,2/8/2015 7:22,Outdoor,USA,"Frisco, TX",Frisco Cycling,72.99,"2,210",3:04:12,152,188
Cycling,3/15/2015 7:25,Outdoor,USA,"Plano, TX",Untitled,76.92,"2,746",3:14:39,155,189
Cycling,3/22/2015 13:53,Outdoor,USA,"Plano, TX",Untitled,39.15,"1,429",1:40:21,159,198
Cycling,3/29/2015 7:09,Outdoor,USA,"Frisco, TX",Frisco Cycling,66.42,"2,017",2:54:40,150,191
Cycling,3/31/2015 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,50,"1,488",1:49:38,157,188
Cycling,4/4/2015 11:48,Outdoor,USA,"Frisco, TX",Frisco Cycling,34.71,796,1:55:04,118,183
Running,4/4/2015 12:09,Outdoor,USA,"Mckinney, TX",McKinney Running,16.8,463,1:04:12,165,197
Cycling,4/7/2015 18:38,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.77,"1,592",1:47:46,165,194
Cycling,4/11/2015 13:32,Outdoor,USA,"Frisco, TX",Frisco Cycling,54.51,"1,291",2:29:44,129,184
Cycling,4/18/2015 9:01,Outdoor,USA,"Frisco, TX",Frisco Cycling,47.83,"1,540",2:10:17,145,184
Cycling,5/11/2015 17:16,Outdoor,USA,"Frisco, TX",Frisco Cycling,27,861,0:58:27,157,183
Cycling,5/16/2015 6:52,Outdoor,USA,"Frisco, TX",Frisco Cycling,1.34,56,06:45.7,112,140
Cycling,5/19/2015 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.76,"1,708",1:48:01,155,183
Cycling,5/21/2015 17:49,Outdoor,USA,"Frisco, TX",Frisco Cycling,26.96,497,1:24:23,109,170
Running,5/23/2015 8:08,Outdoor,USA,"Frisco, TX",Frisco Running,7.19,295,1:09:25,125,186
Cycling,5/28/2015 18:28,Outdoor,USA,"Frisco, TX",Frisco Cycling,55.49,"1,699",1:57:14,156,189
Cycling,5/31/2015 7:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,52.42,"1,204",2:34:33,123,173
Cycling,6/7/2015 7:25,Outdoor,USA,"Frisco, TX",Frisco Cycling,66.33,"2,315",2:28:39,140,176
